ls, "Short for lists; displays the file and directory names in the current working directory."
pwd, "Prints the path of the working directory; starting from the root."
cd, "Known as change directory command. It is used to change current working directory."
mkdir, "Allows the user to create directories. This command can create multiple directories at once."
rmdir, "Used to remove empty directories from the filesystem in Linux."
rm, "Used to remove objects such as files and directories from the file system like UNIX."
cp, "Used to copy files or group of files or directory."
mv, "Used to move one or more files or directories from one place to another in file system like UNIX."
ssh, "Protocol used to securely connect to a remote server/system."
scp, "Used to copy file(s) between servers in a secure way."
man, "Used to display the user manual of any command that we can run on the terminal."
g++, "Used like a compiler that runs from your command line to generate an executable file."
gcc, "Used to compile mainly C and C++ language. It can be used to compile Objective C and Objective C++."
make, "Used to determine which pieces of a large program need to be recompiled; and issue the commands to recompile them."
ps, "Used to list the currently running processes information about them depending on different options."
kill, "Used to terminate processes manually."
top, "Provides a dynamic real-time view of the running system."
who, "Used to get information about the user currently logged into the system."
chmod, "Used to change the access mode of a file."
cat, "Reads data from file and gives their content as output. It helps us to create and concatenate files."
alias, "Instructs the shell to replace one string with another string while executing commands."
chown, "Used to change the file owner or group."
df, "Used to display information related to file systems about total and available space."
grep, "Searches a file for a particular pattern of characters; and displays all lines that contain that pattern."
echo, "Used to display line of text/string that are passed as an argument."
exit, "Used to exit the shell where it is currently running."
clear, "Used to clear the terminal screen."
find, "Used to find files and directories and perform subsequent operations on them."
finger, "It is a user information lookup command which gives details of all the users logged in."
free, "Displays the total amount of free space available along with the amount of memory used and swap memory in the system."